chitietve,,,,
id_ve,id_datve,id_suat,id_ghe,gia_ve
1,1,2,51,100000
2,1,2,52,100000
3,2,2,53,100000
4,2,2,54,100000
5,2,2,55,100000
6,3,3,111,100000
7,3,3,112,100000
8,3,3,113,100000
9,4,3,114,100000
10,4,3,115,100000
11,5,7,11,100000
12,5,7,12,100000
13,6,7,13,100000
14,6,7,14,100000
15,7,2,56,120000
16,7,2,57,120000
17,8,3,116,110000
18,8,3,117,110000
19,9,7,15,140000
20,9,7,16,140000
21,10,229,115,100000
22,10,229,72,100000
23,11,1117,16,100000
24,12,1035,280,110000
25,12,1035,215,110000
26,13,570,217,120000
27,13,570,175,120000
28,14,1564,50,100000
29,14,1564,184,100000
30,14,1564,177,100000
31,14,1564,136,100000
32,15,1099,283,120000
33,16,741,24,110000
34,17,477,187,110000
35,17,477,84,110000
36,17,477,190,110000
37,17,477,182,110000
38,18,1438,274,110000
39,18,1438,126,110000
40,19,553,167,110000
41,19,553,29,110000
42,20,822,109,130000
43,20,822,256,130000
44,20,822,203,130000
45,21,286,300,130000
46,21,286,220,130000
47,21,286,299,130000
48,22,284,57,110000
49,23,1394,196,140000
50,23,1394,240,140000
51,23,1394,271,140000
52,23,1394,129,140000
53,24,1477,175,130000
54,24,1477,58,130000
55,24,1477,151,130000
56,25,7,257,100000
57,25,7,92,100000
58,25,7,260,100000
59,26,1309,192,140000
60,26,1309,83,140000
61,27,1227,186,120000
62,28,494,36,130000
63,28,494,273,130000
64,28,494,65,130000
65,28,494,66,130000
66,29,543,109,130000
67,29,543,277,130000
68,29,543,103,130000
69,29,543,160,130000
70,30,765,62,120000
71,30,765,127,120000
72,30,765,116,120000
73,30,765,33,120000
74,31,1135,37,100000
75,32,65,143,110000
76,32,65,249,110000
77,33,1482,243,110000
78,33,1482,209,110000
79,34,1350,240,130000
80,34,1350,28,130000
81,34,1350,51,130000
82,34,1350,32,130000
83,35,224,72,130000
84,35,224,217,130000
85,35,224,94,130000
86,35,224,143,130000
87,36,908,26,140000
88,37,1544,247,110000
89,37,1544,110,110000
90,37,1544,206,110000
91,37,1544,31,110000
92,38,800,217,110000
93,38,800,285,110000
94,38,800,250,110000
95,39,446,161,100000
96,40,977,30,100000
97,40,977,261,100000
98,41,1219,62,140000
99,41,1219,292,140000
100,41,1219,127,140000
101,41,1219,297,140000
102,42,168,134,110000
103,42,168,105,110000
104,42,168,161,110000
