daodien,
id_daodien,ten_dao_dien
1,Đỗ Đức Trung
2,Lee Cronin
3,Oscar Dương
4,Ekkachai Srivichaik
5,Chang Hang-jun
6,null
7,Lê Thiện Viễn
8,"Aaron Horvath, Michael Jelenic"
9,Daniel Chong
10,Lưu Thành Luân
11,Đỗ Đức Thịnh
12,Phan Gia Nhật Linh
13,Võ Thạch Thảo
14,Ginanti Rona
15,Park Chul-hwan
16,Nguyễn Hữu Hoàng
17,Kyle Balda
18,Simon McQuoid
19,David Frankel
20,Tetsuo Yajima
21,Lee Sang-min
22,"Baz Poonpiriya, Chayanop Boonprakob"
23,Joseph Kosinski
24,David Lowery
25,Jon Favreau
26,Kôji Shiraishi
27,null
28,Phontharis Chotkijsadarsopon
29,Hadrah Daeng Ratu
30,Damian McCarthy
31,Nguyễn Xuân Nghĩa
32,Shukou Murase
33,Markiplier
34,Antoine Fuqua
35,"Phil Lord, Christopher Miller"
36,Yasuhito Kikuchi
37,Phan Bá Hỷ
38,Philippe Lacheau
39,Shinkai Makoto
40,Travis Knight
41,Masaki Kitamura
42,"Joey De Guzman, Ian Loreños, Shugo Praico"
43,Gooseworx
44,YEON Sang-ho
45,MIYAZAKI HAYAO
46,Steven Spielberg
47,HÙNG TRẦN
48,Kenji Tanigaki
49,"Kenna Harris, Andrew Stanton"
50,Thắng Vũ
