ghe,,,
id_ghe,ma_ghe,id_phong,loai_ghe
1,A1,1,Thường 
2,A2,1,Thường 
3,A3,1,Thường 
4,A4,1,Thường 
5,A5,1,Thường 
6,A6,1,Thường 
7,A7,1,Thường 
8,A8,1,Thường 
9,A9,1,Thường 
10,A10,1,Thường 
11,B1,1,Thường 
12,B2,1,Thường 
13,B3,1,Thường 
14,B4,1,Thường 
15,B5,1,Thường 
16,B6,1,Thường 
17,B7,1,Thường 
18,B8,1,Thường 
19,B9,1,Thường 
20,B10,1,Thường 
21,C1,1,Thường 
22,C2,1,Thường 
23,C3,1,Thường 
24,C4,1,Thường 
25,C5,1,Thường 
26,C6,1,Thường 
27,C7,1,Thường 
28,C8,1,Thường 
29,C9,1,Thường 
30,C10,1,Thường 
31,D1,1,Thường 
32,D2,1,Thường 
33,D3,1,Thường 
34,D4,1,Thường 
35,D5,1,Thường 
36,D6,1,Thường 
37,D7,1,Thường 
38,D8,1,Thường 
39,D9,1,Thường 
40,D10,1,Thường 
41,E1,1,VIP
42,E2,1,VIP
43,E3,1,VIP
44,E4,1,VIP
45,E5,1,VIP
46,E6,1,VIP
47,E7,1,VIP
48,E8,1,VIP
49,E9,1,VIP
50,E10,1,VIP
51,G1,1,Đôi
52,G2,1,Đôi
53,G3,1,Đôi
54,G4,1,Đôi
55,G5,1,Đôi
56,G6,1,Đôi
57,G7,1,Đôi
58,G8,1,Đôi
59,G9,1,Đôi
60,G10,1,Đôi
61,A1,2,Thường 
62,A2,2,Thường 
63,A3,2,Thường 
64,A4,2,Thường 
65,A5,2,Thường 
66,A6,2,Thường 
67,A7,2,Thường 
68,A8,2,Thường 
69,A9,2,Thường 
70,A10,2,Thường 
71,B1,2,Thường 
72,B2,2,Thường 
73,B3,2,Thường 
74,B4,2,Thường 
75,B5,2,Thường 
76,B6,2,Thường 
77,B7,2,Thường 
78,B8,2,Thường 
79,B9,2,Thường 
80,B10,2,Thường 
81,C1,2,Thường 
82,C2,2,Thường 
83,C3,2,Thường 
84,C4,2,Thường 
85,C5,2,Thường 
86,C6,2,Thường 
87,C7,2,Thường 
88,C8,2,Thường 
89,C9,2,Thường 
90,C10,2,Thường 
91,D1,2,Thường 
92,D2,2,Thường 
93,D3,2,Thường 
94,D4,2,Thường 
95,D5,2,Thường 
96,D6,2,Thường 
97,D7,2,Thường 
98,D8,2,Thường 
99,D9,2,Thường 
100,D10,2,Thường 
101,E1,2,VIP
102,E2,2,VIP
103,E3,2,VIP
104,E4,2,VIP
105,E5,2,VIP
106,E6,2,VIP
107,E7,2,VIP
108,E8,2,VIP
109,E9,2,VIP
110,E10,2,VIP
111,G1,2,Đôi
112,G2,2,Đôi
113,G3,2,Đôi
114,G4,2,Đôi
115,G5,2,Đôi
116,G6,2,Đôi
117,G7,2,Đôi
118,G8,2,Đôi
119,G9,2,Đôi
120,G10,2,Đôi
121,A1,3,Thường 
122,A2,3,Thường 
123,A3,3,Thường 
124,A4,3,Thường 
125,A5,3,Thường 
126,A6,3,Thường 
127,A7,3,Thường 
128,A8,3,Thường 
129,A9,3,Thường 
130,A10,3,Thường 
131,B1,3,Thường 
132,B2,3,Thường 
133,B3,3,Thường 
134,B4,3,Thường 
135,B5,3,Thường 
136,B6,3,Thường 
137,B7,3,Thường 
138,B8,3,Thường 
139,B9,3,Thường 
140,B10,3,Thường 
141,C1,3,Thường 
142,C2,3,Thường 
143,C3,3,Thường 
144,C4,3,Thường 
145,C5,3,Thường 
146,C6,3,Thường 
147,C7,3,Thường 
148,C8,3,Thường 
149,C9,3,Thường 
150,C10,3,Thường 
151,D1,3,Thường 
152,D2,3,Thường 
153,D3,3,Thường 
154,D4,3,Thường 
155,D5,3,Thường 
156,D6,3,Thường 
157,D7,3,Thường 
158,D8,3,Thường 
159,D9,3,Thường 
160,D10,3,Thường 
161,E1,3,VIP
162,E2,3,VIP
163,E3,3,VIP
164,E4,3,VIP
165,E5,3,VIP
166,E6,3,VIP
167,E7,3,VIP
168,E8,3,VIP
169,E9,3,VIP
170,E10,3,VIP
171,G1,3,Đôi
172,G2,3,Đôi
173,G3,3,Đôi
174,G4,3,Đôi
175,G5,3,Đôi
176,G6,3,Đôi
177,G7,3,Đôi
178,G8,3,Đôi
179,G9,3,Đôi
180,G10,3,Đôi
181,A1,4,Thường 
182,A2,4,Thường 
183,A3,4,Thường 
184,A4,4,Thường 
185,A5,4,Thường 
186,A6,4,Thường 
187,A7,4,Thường 
188,A8,4,Thường 
189,A9,4,Thường 
190,A10,4,Thường 
191,B1,4,Thường 
192,B2,4,Thường 
193,B3,4,Thường 
194,B4,4,Thường 
195,B5,4,Thường 
196,B6,4,Thường 
197,B7,4,Thường 
198,B8,4,Thường 
199,B9,4,Thường 
200,B10,4,Thường 
201,C1,4,Thường 
202,C2,4,Thường 
203,C3,4,Thường 
204,C4,4,Thường 
205,C5,4,Thường 
206,C6,4,Thường 
207,C7,4,Thường 
208,C8,4,Thường 
209,C9,4,Thường 
210,C10,4,Thường 
211,D1,4,Thường 
212,D2,4,Thường 
213,D3,4,Thường 
214,D4,4,Thường 
215,D5,4,Thường 
216,D6,4,Thường 
217,D7,4,Thường 
218,D8,4,Thường 
219,D9,4,Thường 
220,D10,4,Thường 
221,E1,4,VIP
222,E2,4,VIP
223,E3,4,VIP
224,E4,4,VIP
225,E5,4,VIP
226,E6,4,VIP
227,E7,4,VIP
228,E8,4,VIP
229,E9,4,VIP
230,E10,4,VIP
231,G1,4,Đôi
232,G2,4,Đôi
233,G3,4,Đôi
234,G4,4,Đôi
235,G5,4,Đôi
236,G6,4,Đôi
237,G7,4,Đôi
238,G8,4,Đôi
239,G9,4,Đôi
240,G10,4,Đôi
241,A1,5,Thường 
242,A2,5,Thường 
243,A3,5,Thường 
244,A4,5,Thường 
245,A5,5,Thường 
246,A6,5,Thường 
247,A7,5,Thường 
248,A8,5,Thường 
249,A9,5,Thường 
250,A10,5,Thường 
251,B1,5,Thường 
252,B2,5,Thường 
253,B3,5,Thường 
254,B4,5,Thường 
255,B5,5,Thường 
256,B6,5,Thường 
257,B7,5,Thường 
258,B8,5,Thường 
259,B9,5,Thường 
260,B10,5,Thường 
261,C1,5,Thường 
262,C2,5,Thường 
263,C3,5,Thường 
264,C4,5,Thường 
265,C5,5,Thường 
266,C6,5,Thường 
267,C7,5,Thường 
268,C8,5,Thường 
269,C9,5,Thường 
270,C10,5,Thường 
271,D1,5,Thường 
272,D2,5,Thường 
273,D3,5,Thường 
274,D4,5,Thường 
275,D5,5,Thường 
276,D6,5,Thường 
277,D7,5,Thường 
278,D8,5,Thường 
279,D9,5,Thường 
280,D10,5,Thường 
281,E1,5,VIP
282,E2,5,VIP
283,E3,5,VIP
284,E4,5,VIP
285,E5,5,VIP
286,E6,5,VIP
287,E7,5,VIP
288,E8,5,VIP
289,E9,5,VIP
290,E10,5,VIP
291,G1,5,Đôi
292,G2,5,Đôi
293,G3,5,Đôi
294,G4,5,Đôi
295,G5,5,Đôi
296,G6,5,Đôi
297,G7,5,Đôi
298,G8,5,Đôi
299,G9,5,Đôi
300,G10,5,Đôi
